Host,Share,Privs,isDir,Path,fileSize,Date
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\addins,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\appcompat,0,Sun Mar  5 23:20:16 2023
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\apppatch,0,Tue Mar 19 12:25:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\AppReadiness,0,Sun Mar  5 23:30:19 2023
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\assembly,0,Tue Mar 19 11:59:12 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\bcastdvr,0,Tue Mar 19 12:25:53 2019
192.168.1.101,ADMIN$,READ_WRITE,f,ADMIN$\bfsvc.exe,78848,Tue Mar 19 20:41:18 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\BitLockerDiscoveryVolumeContents,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\Boot,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,f,ADMIN$\bootstat.dat,67584,Sun Mar  5 23:42:07 2023
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\Branding,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\CbsTemp,0,Sun Mar  5 23:40:54 2023
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\Containers,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\CSC,0,Tue Mar 19 11:48:57 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\Cursors,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\debug,0,Tue Mar 19 11:55:35 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\diagnostics,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\DigitalLocker,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\Downloaded Program Files,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,f,ADMIN$\DtcInstall.log,1947,Tue Mar 19 19:45:15 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\ELAMBKUP,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\en-US,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,f,ADMIN$\EnterpriseEval.xml,35410,Tue Mar 19 20:41:18 2019
192.168.1.101,ADMIN$,READ_WRITE,f,ADMIN$\explorer.exe,4245280,Tue Mar 19 12:32:26 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\Fonts,0,Tue Mar 19 12:25:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\GameBarPresenceWriter,0,Tue Mar 19 20:42:53 2019
192.168.1.101,ADMIN$,READ_WRITE,d,ADMIN$\Globalization,0,Tue Mar 19 20:42:53 2019
